,actors,rank,score,title,type
0,"['让·雷诺', '娜塔莉·波特曼', '加里·奥德曼', '66丹尼·爱罗', '彼得·阿佩尔', '迈克尔·巴达鲁科', '艾伦·格里尼', '伊丽莎白·瑞根', '卡尔·马图斯维奇', '弗兰克·赛格', '麦温', '乔治·马丁', '罗伯特·拉萨多', '亚当·布斯奇', '马里奥·托迪斯科', '萨米·纳塞利']",1,9.4,这个杀手不太冷,"['剧情', '动作', '犯罪']"
1,"['三船敏郎', '志村乔', '稻叶义男', '宫口精二', '千秋实', '加东大介', '木村功']",2,9.2,七武士,"['动作', '冒险', '剧情']"
2,"['克里斯蒂安·贝尔', '希斯·莱杰', '艾伦·艾克哈特', '迈克尔·凯恩', '玛吉·吉伦哈尔', '加里·奥德曼', '摩根·弗里曼', '莫尼克·加布里埃拉·库尔内', '罗恩·迪恩', '基里安·墨菲', '黄经汉', '内斯特·卡博内尔', '埃里克·罗伯茨', '里特奇·科斯特', '安东尼·迈克尔·豪尔', '基斯·斯扎拉巴基克', '柯林·麦克法兰', '约书亚·哈尔托', '美琳达·麦格劳', '内森·甘宝', '迈克尔·维约', '迈克尔·斯托扬诺夫', '威廉·斯米利', '丹尼·高德林', '迈克尔·加·怀特', '马修·奥尼尔', '威廉·菲德内尔', '欧鲁米基·欧拉乌米', '格雷格·比姆', '爱利克·赫尔曼', '毕崔斯·罗森', '文森佐·尼克力', '陈冠希']",3,9.1,蝙蝠侠：黑暗骑士,"['剧情', '动作', '科幻', '犯罪', '惊悚']"
3,"['维果·莫腾森', '伊莱贾·伍德', '西恩·奥斯汀', '丽芙·泰勒', '伊恩·麦克莱恩', '奥兰多·布鲁姆', '凯特·布兰切特', '米兰达·奥图', '安迪·瑟金斯', '雨果·维文', '多米尼克·莫纳汉', '比利·博伊德', '马尔顿·索克斯', '卡尔·厄本', '克里斯托弗·李', '约翰·瑞斯-戴维斯']",4,9.1,指环王3：王者无敌,"['剧情', '动作', '奇幻', '冒险']"
4,"['爱德华·诺顿', '布拉德·皮特', '海伦娜·伯翰·卡特', '扎克·格雷尼尔', '米特·洛夫', '杰瑞德·莱托', '艾恩·贝利', '里奇蒙德·阿奎特 ', '乔治·马奎尔']",5,9,搏击俱乐部,"['剧情', '动作', '悬疑', '惊悚']"
5,"['伊莱贾·伍德', '西恩·奥斯汀', '伊恩·麦克莱恩', '维果·莫腾森', '奥兰多·布鲁姆', '克里斯托弗·李', '丽芙·泰勒', '安迪·瑟金斯', '雨果·维文', '卡尔·厄本', '凯特·布兰切特', '多米尼克·莫纳汉', '大卫·文翰', '比利·博伊德', '布拉德·道里夫', '伯纳德·希尔', '约翰·瑞斯-戴维斯', '米兰达·奥图']",6,9,指环王2：双塔奇兵,"['剧情', '动作', '奇幻', '冒险']"
6,"['巴斯特·基顿', '玛丽昂·马克', '格伦·卡文德', '吉姆·法利', '弗雷德里克·弗鲁姆', '查尔斯·亨利·史密斯', '弗兰克·巴恩斯', '乔·基顿', '麦克·多林', '汤姆·纳恩']",7,9,将军号,"['剧情', '喜剧', '动作', '战争', '冒险']"
7,"['伊莱贾·伍德', '西恩·奥斯汀', '伊恩·麦克莱恩', '维果·莫腾森', '奥兰多·布鲁姆', '凯特·布兰切特', '肖恩·宾', '克里斯托弗·李', '雨果·维文', '丽芙·泰勒', '安迪·瑟金斯', '伊安·霍姆', '多米尼克·莫纳汉', '萨拉·贝克', '约翰·瑞斯-戴维斯']",8,8.9,指环王1：魔戒再现,"['剧情', '动作', '奇幻', '冒险']"
8,"['基努·里维斯', '凯瑞-安·莫斯', '劳伦斯·菲什伯恩', '雨果·维文', '格洛丽亚·福斯特', '乔·潘托里亚诺', '马库斯·钟', '朱利安·阿拉汗加', '马特·多兰']",9,8.9,黑客帝国,"['动作', '科幻']"
9,"['田中敦子', '大塚明夫', '山寺宏一', '大木民夫', '家弓家正', '玄田哲章', '山内雅人', '小川真司']",10,8.9,攻壳机动队,"['动作', '科幻', '动画']"
10,"['娜塔莉·波特曼', '雨果·维文', '斯蒂芬·瑞', '斯蒂芬·弗雷', '约翰·赫特', '蒂姆·皮戈特-史密斯', '鲁珀特·格雷夫斯', '罗杰·阿拉姆', '本·迈尔斯', '西妮德·库萨克', '娜塔莎·怀特曼', '约翰·斯坦丁', '埃迪·马森', '克里夫·阿什伯恩', 'Emma Field-Rayner', '伊安·布尔费尔德', 'Mark Phoenix', 'Alister Mazzotti', '比莉·库克', '盖伊·亨利', '科斯马·肖', 'Megan Gay', 'Roderic Culver', 'Tara Hacking', '安迪·莱什利兹', '查德·斯塔赫斯基', '布拉德利·斯蒂夫·福特', 'Madeleine Rakic-Platt', '塞丽娜·贾尔斯', '卡斯腾·海斯', '伊莫琴·普茨', '劳拉·格林伍德', 'Kyra Meyer', '玛丽·萧克莱 ', '理查德·莱恩', 'Michael Simkins']",11,8.8,V字仇杀队,"['剧情', '动作', '科幻', '惊悚']"
11,"['梅尔·吉布森', '苏菲·玛索', '布莱恩·考克斯', '詹姆斯·卡沙莫', '辛·劳洛', '凯瑟琳·麦克马克', '安古斯·麦克菲登']",12,8.8,勇敢的心,"['动作', '传记', '剧情', '历史', '战争']"
12,"['仲代达矢', '寺尾聪', '根津甚八', '隆大介', '野村万斋']",13,8.8,乱,"['动作', '剧情', '战争']"
13,"['大塚明夫', '克莱顿·华生', '帕梅拉·阿德龙', '海蒂·布雷斯', '特伦斯·卡森', '美琳达·克拉克', '奥利薇亚·阿波', 'Dane A. Davis', 'William R. Dean']",14,8.8,黑客帝国动画版,"['动作', '剧情', '动画', '科幻']"
14,"['三船敏郎', '仲代达矢', '山田五十铃', '志村乔', '东野英治郎', '加东大介']",15,8.8,用心棒,"['动作', '犯罪', '剧情', '惊悚']"
15,"['韦利米尔·巴塔·日沃伊诺维奇', '斯洛博丹·佩罗维奇', '鲍里斯·德沃尔尼克']",16,8.8,桥,"['动作', '战争']"
16,"['田中敦子', '大塚明夫', '阪脩', '仲野裕', '大川透', '小野冢贵志', '山寺宏一', '山口太郎']",17,8.8,攻壳机动队SSS,"['动作', '科幻', '动画']"
17,"['姜文', '葛优', '周润发', '刘嘉玲', '陈坤', '张默', '姜武', '周韵', '廖凡', '姚橹', '邵兵', '苗圃', '冯小刚', '胡军', '马珂', '白冰', '杜奕衡', '李静', '胡明', '危笑', '杨奇雨', '赵铭']",18,8.7,让子弹飞,"['剧情', '喜剧', '动作', '西部']"
18,"['泰伊·谢里丹', '奥利维亚·库克', '本·门德尔森', '马克·里朗斯', '丽娜·维特', '森崎温', '赵家正', '西蒙·佩吉', 'T·J·米勒', '汉娜·乔恩-卡门', '拉尔夫·尹爱森', '苏珊·林奇', '克莱尔·希金斯', '劳伦斯·斯佩尔曼', '佩蒂塔·维克斯', '艾萨克·安德鲁斯']",19,8.7,头号玩家,"['动作', '科幻', '冒险']"
19,"['马特·达蒙', '朱丽娅·斯蒂尔斯', '大卫·斯特雷泽恩', '斯科特·格伦', '帕迪·康斯戴恩', '埃德加·拉米雷兹', '阿尔伯特·芬尼', '琼·艾伦', 'Tom Gallop', '克里·约翰逊', '丹尼尔·布鲁尔', '乔伊·安沙', '科林·斯廷顿', '丹·弗雷登堡', 'Lucy Liemann']",20,8.7,谍影重重3,"['动作', '悬疑', '惊悚']"
20,"['周润发', '张国荣', '钟楚红', '朱江', '曾江', '胡枫', '唐宁', '邓一君']",21,8.7,纵横四海,"['剧情', '喜剧', '动作', '犯罪']"
21,"['吴镇宇', '任达华', '黄秋生', '吕颂贤', '张耀扬', '林雪', '王天林', '施绮莲', '高雄']",22,8.7,枪火,"['剧情', '动作', '犯罪']"
22,"['张国荣', '林青霞', '梁朝伟', '张学友', '张曼玉', '刘嘉玲', '梁家辉', '杨采妮', '白丽']",23,8.7,东邪西毒：终极版,"['剧情', '动作', '爱情']"
23,"['瓦格纳·马拉', '安德烈·拉米罗', '米尔黑·考塔兹', '伊兰迪尔·桑托斯', '玛利亚·瑞贝罗', '索·豪黑']",24,8.7,精英部队2：大敌当前,"['剧情', '动作', '犯罪', '惊悚']"
24,"['彼得·威勒', '阿芮尔·温特', '迈克尔·爱默生', '迈克尔·麦基恩 Michael McKean', '马克·瓦雷 Mark Valley', '大卫·塞尔比 David Selby']",25,8.7,蝙蝠侠：黑暗骑士归来(下),"['动作', '动画']"
25,"['三船敏郎', '仲代达矢', '加山雄三', '小林桂树', '团令子']",26,8.7,椿三十郎,"['动作', '剧情', '惊悚']"
26,"['彼得·盖勒', '凯瑟琳·泽塔-琼斯', '乔治·C·斯科特', '爱娃·玛丽·森特', '蒂姆·克里', '罗杰·里斯', '哈莉·简·科扎克', '玛丽露·亨纳尔', '麦克·道尔']",27,8.7,铁达尼号沉没记,"['剧情', '动作', '历史', '爱情', '灾难']"
27,"['萨姆·沃辛顿', '佐伊·索尔达娜', '西格妮·韦弗', '史蒂芬·朗', '米歇尔·罗德里格兹', '吉奥瓦尼·瑞比西', '乔·大卫·摩尔 ', '希·庞德', '韦斯·斯塔迪', '拉兹·阿隆索', '迪利普·劳', '马特·杰拉德', '肖恩·安东尼·莫兰']",28,8.6,阿凡达,"['动作', '战争', '科幻', '冒险']"
28,"['斯科特·安第斯', '瑞恩·波特', '丹尼尔·海尼', 'T·J·米勒', '杰米·钟', '小达蒙·韦恩斯', '珍尼希斯·罗德里格兹', '詹姆斯·克伦威尔', '艾伦·图代克', '玛娅·鲁道夫', '亚布拉哈姆·本鲁比', '凯蒂·洛斯', '比利·布什', '丹尼尔·吉尔森', '保罗·布里格斯']",29,8.6,超能陆战队,"['喜剧', '动作', '科幻', '动画', '冒险']"
29,"['约翰尼·德普', '杰弗里·拉什', '奥兰多·布鲁姆', '凯拉·奈特莉', '杰克·达文波特', '乔纳森·普雷斯']",30,8.6,加勒比海盗,"['动作', '冒险', '奇幻']"
30,"['克里斯蒂安·贝尔', '汤姆·哈迪', '安妮·海瑟薇', '约瑟夫·高登-莱维特', '玛丽昂·歌迪亚', '加里·奥德曼', '迈克尔·凯恩', '摩根·弗里曼', '朱诺·坦普尔', '乔什·平茨', '丹尼尔·逊亚塔', '内斯特·卡博内尔', '伯恩·戈曼', '连姆·尼森', '乔伊·金', '艾丹·吉伦', '基里安·墨菲', '乔什·斯图沃特', '马修·莫迪恩', '本·门德尔森']",31,8.6,蝙蝠侠：黑暗骑士崛起,"['剧情', '动作', '科幻', '犯罪', '惊悚']"
31,"['张国荣', '林青霞', '梁朝伟', '张学友', '张曼玉', '刘嘉玲', '梁家辉', '杨采妮', '邹兆龙']",32,8.6,东邪西毒,"['剧情', '动作', '爱情', '武侠', '古装']"
32,"['杰米·福克斯', '莱昂纳多·迪卡普里奥', '克里斯托弗·沃尔兹', '塞缪尔·杰克逊', '凯丽·华盛顿', '沃尔顿·戈金斯', '丹尼斯·克里斯托弗', '乔纳·希尔', '詹姆斯·瑞马尔', '爱波·塔布琳', '弗兰科·内罗', '罗伯特·卡拉丁', '佐伊·贝尔']",33,8.6,被解救的姜戈,"['剧情', '动作', '西部', '冒险']"
33,"['周润发', '狄龙', '张国荣', '朱宝意', '李子雄', '田丰', '吴宇森', '曾江', '成奎安', '徐克', '陈志辉']",34,8.6,英雄本色,"['动作', '犯罪']"
34,"['马特·达蒙', '弗朗卡·波滕特', '布莱恩·考克斯', '朱丽娅·斯蒂尔斯', '卡尔·厄本', '琼·艾伦', '加布里埃尔·曼', '马尔顿·索克斯', '约翰·贝德福德·劳埃德', '伊桑·桑德勒', '米歇尔·莫纳汉', '卡瑞尔·罗登', '托马斯·阿拉纳', '奥莎娜·阿金什那', '汤姆·加洛普']",35,8.6,谍影重重2,"['动作', '悬疑', '惊悚']"
35,"['基努·里维斯', '劳伦斯·菲什伯恩', '凯瑞-安·莫斯', '莫妮卡·贝鲁奇', '凯特·宾汉', '雨果·维文', '贾达·萍克·史密斯', '邹兆龙', '朗贝尔·维尔森']",36,8.6,黑客帝国3：矩阵革命,"['动作', '科幻']"
36,"['阿诺·施瓦辛格', '琳达·汉密尔顿', '爱德华·福隆', '罗伯特·帕特里克', '阿尔·伯恩', '乔·莫顿', '埃帕莎·默克森', '卡斯图罗·格雷拉', '丹尼·库克塞', '詹妮特·戈德斯坦恩', '山德·贝克利', '莱思莉·汉密尔顿·格伦']",37,8.6,终结者2：审判日,"['动作', '科幻']"
37,"['肖恩·康纳利', '尼古拉斯·凯奇', '艾德·哈里斯', '约翰·斯宾塞', '大卫·摩斯', '威廉·弗西斯', '迈克尔·比恩', '瓦内萨·马赛尔', '约翰·C·麦金雷', '托尼·托德', '博基姆·伍德拜因', '格雷格·科林斯', '布伦丹·凯利', '史蒂夫·哈里斯', '吉姆·卡维泽']",38,8.6,勇闯夺命岛,"['动作', '冒险']"
38,"['乔什·哈奈特', '伊万·麦克格雷格', '汤姆·塞兹摩尔', '金·寇兹', '艾文·布莱纳', '艾瑞克·巴纳', '休·丹西', '威廉·菲德内尔', '奥兰多·布鲁姆', '汤姆·哈迪', '詹森·艾萨克']",39,8.6,黑鹰坠落,"['动作', '历史', '战争']"
39,"['二宫和也', '苍井优', '伊势谷友介', '宫藤官九郎', '大森南朋']",40,8.6,恶童,"['动画', '动作', '冒险', '犯罪']"
40,"['查尔登·海斯顿', '杰克·霍金斯', '哈雅·哈拉里特', '史蒂芬·博伊德', '休·格里夫斯', '玛莎·斯考特', '凯茜·奥唐内', '山姆·谢斐', '芬利·柯里', '安德鲁·莫瑞尔']",41,8.6,宾虚,"['剧情', '动作', '历史', '战争', '冒险']"
41,"['蒂尔·施威格', '扬·约瑟夫·利费斯', '蒂埃里·范·维凡客', '莫里兹·布雷多', '休伯·史塔普', 'Leonard Lansink', 'Ralph Herforth', '科奈莉亚·弗洛波伊斯', '鲁特格尔·哈尔', 'Willi Thomczyk', '克里斯蒂安娜·保罗', '汉恩斯·詹尼可', 'Vladimir Weigl', '珍妮·爱娃-艾瓦仓庚', '科琳娜·哈弗奇']",42,8.6,敲开天堂的门,"['动作', '犯罪', '喜剧', '剧情']"
42,"['路易斯·沃海姆', '刘·艾尔斯', '约翰·雷', '阿诺德·露西', '本·亚历山大', '斯科特·寇克', '小欧文·戴维斯', '沃尔特·罗杰斯', '威廉·贝克韦尔', '拉塞尔·格里森', '理查德·亚历山大', '哈罗德·古德温', '斯利姆·萨默维尔', 'G·帕特·柯林斯', '贝丽尔·默瑟']",43,8.6,西线无战事,"['剧情', '动作', '历史', '战争']"
43,"['仲代达矢', '新珠三千代', '内藤洋子', '加山雄三', '三船敏郎']",44,8.6,大菩萨岭,"['动作', '剧情']"
44,"['亨弗莱·鲍嘉', '沃尔特·休斯顿', '提姆·霍尔特', '布鲁斯·班尼特', '巴顿·麦克莱恩']",45,8.6,碧血金沙,"['冒险', '剧情', '西部', '动作']"
45,"['山口胜平', '本田贵子', '水谷优子', '飞田展男', '高木渉', '岩田光央', '梁田清之']",46,8.6,落叶,"['动画', '动作', '冒险', '喜剧', '科幻']"
46,"['汤姆·哈迪', '查理兹·塞隆', '尼古拉斯·霍尔特', '休·基斯-拜恩', '乔什·赫尔曼', '内森·琼斯', '佐伊·克罗维兹', '罗茜·汉丁顿-惠特莉', '丽莉·克亚芙', '阿比·丽', '考特尼·伊顿', '安格斯·桑普森', '理查德·卡特', '梅根·盖尔', '肖恩·哈普']",47,8.5,疯狂的麦克斯4：狂暴之路,"['动作', '科幻', '冒险']"
47,"['马特·达蒙', '弗朗卡·波滕特', '克里斯·库珀', '克里夫·欧文', '朱丽娅·斯蒂尔斯', '布莱恩·考克斯', '阿德沃尔·阿吉纽依-艾格拜吉', '加布里埃尔·曼', '沃尔顿·戈金斯', '约什·汉密尔顿', 'Orso Maria Guerrini']",48,8.5,谍影重重,"['动作', '悬疑', '惊悚']"
